time,value
0.000000000,0.000000
0.003906250,0.382683
0.007812500,0.707107
0.011718750,0.923880
0.015625000,1.000000
0.019531250,0.923880
0.023437500,0.707107
0.027343750,0.382683
0.031250000,0.000000
0.035156250,-0.382683
0.039062500,-0.707107
0.042968750,-0.923880
0.046875000,-1.000000
0.050781250,-0.923880
0.054687500,-0.707107
0.058593750,-0.382683
0.062500000,0.000000
0.066406250,0.382683
0.070312500,0.707107
0.074218750,0.923880
0.078125000,1.000000
0.082031250,0.923880
0.085937500,0.707107
0.089843750,0.382683
0.093750000,0.000000
0.097656250,-0.382683
0.101562500,-0.707107
0.105468750,-0.923880
0.109375000,-1.000000
0.113281250,-0.923880
0.117187500,-0.707107
0.121093750,-0.382683
0.125000000,0.000000
0.128906250,0.382683
0.132812500,0.707107
0.136718750,0.923880
0.140625000,1.000000
0.144531250,0.923880
0.148437500,0.707107
0.152343750,0.382683
0.156250000,0.000000
0.160156250,-0.382683
0.164062500,-0.707107
0.167968750,-0.923880
0.171875000,-1.000000
0.175781250,-0.923880
0.179687500,-0.707107
0.183593750,-0.382683
0.187500000,0.000000
0.191406250,0.382683
0.195312500,0.707107
0.199218750,0.923880
0.203125000,1.000000
0.207031250,0.923880
0.210937500,0.707107
0.214843750,0.382683
0.218750000,0.000000
0.222656250,-0.382683
0.226562500,-0.707107
0.230468750,-0.923880
0.234375000,-1.000000
0.238281250,-0.923880
0.242187500,-0.707107
0.246093750,-0.382683
0.250000000,0.000000
0.253906250,0.382683
0.257812500,0.707107
0.261718750,0.923880
0.265625000,1.000000
0.269531250,0.923880
0.273437500,0.707107
0.277343750,0.382683
0.281250000,0.000000
0.285156250,-0.382683
0.289062500,-0.707107
0.292968750,-0.923880
0.296875000,-1.000000
0.300781250,-0.923880
0.304687500,-0.707107
0.308593750,-0.382683
0.312500000,0.000000
0.316406250,0.382683
0.320312500,0.707107
0.324218750,0.923880
0.328125000,1.000000
0.332031250,0.923880
0.335937500,0.707107
0.339843750,0.382683
0.343750000,0.000000
0.347656250,-0.382683
0.351562500,-0.707107
